F1 score,comment,team_name,members
0.9623,N/A,taiwan-numba-1,johnnykwwang|keithyuck
0.9620,N/A,whatever,CeliaYao329|YeatsMar
0.9616,N/A,jbit,irenetung|jillianjmb
0.9616,N/A,tbd,dwb264
0.9599,N/A,1,PeterXUYAOHAI|lifei96
0.9584,N/A,dot-product,marikacusick|trallen91
0.9579,N/A,nlp-yong-kun,Rogerwlk|acneyouth1996
0.9573,N/A,kirinji,CherryBilberry|shawnwang95
0.9557,N/A,pj-party,Joloh13|pkale
0.9536,N/A,statistically_proper,ShantanuPhadke|Vchabs
0.9536,N/A,nlp-y-j,Jingjing-Bai-WCM|skybluewing
0.9520,N/A,salty_fish,wrymax|ziyuqiu
0.9519,N/A,weak-derivatives,anthonytec2|bzelditch
0.9506,N/A,nlp-r-s,ryanfarr01|shainedl
0.9454,N/A,team,StevenWooooo|advaitapatel
0.9420,N/A,campbell-richard,ccweaver1|richardqhill
0.9402,N/A,despacitos,dhachuel|lsharir
0.9332,N/A,queen,SteffenBerlin|ckuang|omer921
0.9264,N/A,unsupervised-learners,joe83830|ren-e1011
0.8321,N/A,nlp19,rh443453518|ys838
0.0336,N/A,nonlinear-programming,Sunnah|migunasekera
0.0336,N/A,travel-boyz,cyzanfar|et435
0.0336,N/A,neural-linguistic-processing,dni138|wumpusman
0.0336,N/A,lang,anastasisbele|cyzanfar
0.0336,N/A,bingsboys,MattD18|wario123
-3.1416,Error with correlation scores.,too-hard-to-choose-a-name,rrrainbowww|zhihao-liu
